temp,wind,rain,humidity,cloud,pressure,viscosity
0.023798142,0.008237818,0,0.035697213,0.003661253,0.923550968,0.002745939
0.025712807,0.008900587,0,0.038569211,0.003955816,0.997854711,0.002966862
0.024885601,0.008614247,0,0.037328402,0.003828554,0.965752748,0.002871416
0.024673849,0.008540948,0,0.037010774,0.003795977,0.957535143,0.002846983
0.025574249,0.008852625,0,0.038361373,0.0039345,0.992477575,0.002950875
0.025728353,0.008905968,0,0.03859253,0.003958208,0.998458018,0.002968656
0.025734863,0.008908222,0,0.038602294,0.00395921,0.998710631,0.002969407
0.027664955,0.008892307,0,0.035569227,0,0.997914436,0.002964102
0.026548123,0.008533325,0,0.034133301,0,0.957628717,0.002844442
0.027655492,0.008889265,0,0.035557061,0,0.997573094,0.002963088
0.027481409,0.00883331,0,0.03533324,0,0.99129369,0.002944437
0.027678665,0.008896714,0,0.035586856,0,0.998409004,0.002965571
0.027690909,0.008900649,0,0.035602597,0,0.998850651,0.002966883
0.025269499,0.008122339,0,0.032489356,0,0.911506932,0.002707446
0.027371899,0.006386776,0,0.027371899,0,0.924257797,0.00273719
0.029546757,0.006894243,0,0.029546757,0,0.997695502,0.002954676
0.029400245,0.006860057,0,0.029400245,0,0.992748277,0.002940025
0.027062994,0.006314699,0,0.027062994,0,0.913827101,0.002706299
0.029569655,0.006899586,0,0.029569655,0,0.998468683,0.002956965
0.029585755,0.006903343,0,0.029585755,0,0.999012344,0.002958576
0.023646958,0.00295587,0,0.056161525,0,0.997113387,0.00295587
0.022697313,0.002837164,0,0.053906118,0,0.957070027,0.002837164
0.023638914,0.002954864,0,0.056142421,0,0.99677421,0.002954864
0.023490932,0.002936366,0,0.055790963,0,0.99053429,0.002936366
0.021609345,0.002701168,0,0.051322195,0,0.911194053,0.002701168
0.023658542,0.00454972,0,0.03002815,0.015469047,0.922683141,0.002729832
0.025588986,0.004920959,0,0.032478328,0.01673126,0.997970438,0.002952575
0.025580301,0.004919289,0,0.032467305,0.016725581,0.997631726,0.002951573
0.025420518,0.004888561,0,0.032264504,0.016621108,0.991400211,0.002933137
0.023388329,0.004497756,0,0.029685187,0.015292369,0.912144829,0.002698653
0.024747093,0.004759056,0,0.031409772,0.016180792,0.965136633,0.002855434
0.011687917,0.01618327,0.002697212,0.08181542,0.062035868,0.919749173,0.002697212
0.012597706,0.017442978,0.002907163,0.088183943,0.066864748,0.991342567,0.002907163
0.012419582,0.017196345,0.002866057,0.086937077,0.065919322,0.977325602,0.002866057
0.012537616,0.017359776,0.002893296,0.087763314,0.066545809,0.986613956,0.002893296
0.01156502,0.016013105,0.002668851,0.080955141,0.061383569,0.910078128,0.002668851
0.010785127,0.016177691,0,0.076394652,0.062913243,0.922128384,0.001797521
0.011601587,0.017402381,0,0.08217791,0.067675926,0.991935719,0.001933598
0.011440284,0.017160425,0,0.081035342,0.066734987,0.978144244,0.001906714
0.010683375,0.016025063,0,0.075673908,0.062319689,0.91342858,0.001780563
0.011558443,0.017337665,0,0.081872307,0.067424252,0.9882469,0.001926407
