runs,strike_rate,performance
7,87.5,612.5
1,33.33,33.33
1,50,50
22,81.48,1792.56
67,70.53,4725.51
80,67.8,5424
0,0,0
2,33.33,66.66
19,73.08,1388.52
21,150,3150
10,166.67,1666.7
2,100,200
2,25,50
10,90.91,909.1
69,100,6900
48,71.64,3438.72
57,95,5415
7,70,490
54,101.89,5502.06
12,200,2400
2,200,400
5,125,625
2,50,100
5,100,500
42,64.62,2714.04
4,200,800
102,78.46,8002.92
2,50,100
12,40,480
11,55,605
9,90,810
3,42.86,128.58
17,80.95,1376.15
1,50,50
76,87.36,6639.36
0,0,0
1,12.5,12.5
5,35.71,178.55
40,56.34,2253.6
7,43.75,306.25
6,42.86,257.16
13,50,650
24,61.54,1476.96
18,85.71,1542.78
1,50,50
34,72.34,2459.56
39,97.5,3802.5
33,91.67,3025.11
1,33.33,33.33
15,60,900
14,51.85,725.9
13,76.47,994.11
32,84.21,2694.72
5,71.43,357.15
0,0,0
0,0,0
78,104,8112
21,77.78,1633.38
41,107.89,4423.49
12,150,1800
3,30,90
4,36.36,145.44
28,62.22,1742.16
4,66.67,266.68
12,26.67,320.04
18,72,1296
31,52.54,1628.74
45,112.5,5062.5
16,123.08,1969.28
0,0,0
0,0,0
58,96.67,5606.86
7,100,700
94,88.68,8335.92
94,128.77,12104.38
9,75,675
26,136.84,3557.84
6,85.71,514.26
24,150,3600
0,0,0
14,107.69,1507.66
16,100,1600
57,79.17,4512.69
57,58.16,3315.12
16,64,1024
1,25,25
5,83.33,416.65
62,65.96,4089.52
22,40,880
6,37.5,225
28,52.83,1479.24
10,111.11,1111.1
17,106.25,1806.25
8,50,400
3,25,75
2,20,40
25,113.64,2841
26,86.67,2253.42
20,90.91,1818.2
36,78.26,2817.36
1,20,20
18,75,1350
14,100,1400
26,74.29,1931.54
12,60,720
2,40,80
0,0,0
74,92.5,6845
31,68.89,2135.59
4,57.14,228.56
4,28.57,114.28
16,64,1024
2,14.29,28.58
18,69.23,1246.14
0,0,0
0,0,0
5,71.43,357.15
0,0,0
58,123.4,7157.2
119,132.22,15734.18
29,85.29,2473.41
58,113.73,6596.34
5,35.71,178.55
38,122.58,4658.04
1,50,50
1,33.33,33.33
6,75,450
1,14.29,14.29
1,50,50
39,205.26,8005.14
7,63.64,445.48
1,14.29,14.29
10,111.11,1111.1
11,57.89,636.79
114,97.44,11108.16
56,90.32,5057.92
7,70,490
7,38.89,272.23
20,71.43,1428.6
0,0,0
19,65.52,1244.88
4,23.53,94.12
59,84.29,4973.11
24,60,1440
22,88,1936
31,96.88,3003.28
55,157.14,8642.7
8,88.89,711.12
3,42.86,128.58
0,0,0
9,81.82,736.38
65,85.53,5559.45
102,95.33,9723.66
24,80,1920
39,139.29,5432.31
30,100,3000
9,150,1350
9,112.5,1012.5
2,100,200
0,0,0
0,0,0
34,89.47,3041.98
35,100,3500
54,71.05,3836.7
21,60,1260
12,75,900
34,77.27,2627.18
52,130,6760
1,33.33,33.33
15,136.36,2045.4
1,100,100
2,200,400
41,124.24,5093.84
57,82.61,4708.77
11,110,1210
12,57.14,685.68
0,0,0
44,66.67,2933.48
4,30.77,123.08
13,65,845
0,0,0
1,50,50
5,41.67,208.35
7,38.89,272.23
76,105.56,8022.56
89,95.7,8517.3
47,106.82,5020.54
52,115.56,6009.12
34,161.9,5504.6
73,84.88,6196.24
13,65,845
27,93.1,2513.7
0,0,0
39,72.22,2816.58
1,16.67,16.67
27,61.36,1656.72
1,20,20
26,76.47,1988.22
9,64.29,578.61
1,33.33,33.33
10,76.92,769.2
60,77.92,4675.2
86,107.5,9245
79,108.22,8549.38
43,143.33,6163.19
28,107.69,3015.32
1,100,100
35,64.81,2268.35
8,114.29,914.32
0,0,0
75,87.21,6540.75
28,80,2240
102,87.93,8968.86
116,104.5,12122
28,112,3136
44,137.5,6050
116,98.31,11403.96
87,86.14,7494.18
42,105,4410
22,110,2420
1,33.33,33.33
0,0,0
19,111.76,2123.44
3,37.5,112.5
52,60.47,3144.44
1,12.5,12.5
6,66.67,400.02
24,51.06,1225.44
59,72.84,4297.56
0,0,0
5,100,500
7,35,245
19,61.29,1164.51
64,86.49,5535.36
35,79.55,2784.25
36,97.3,3502.8
13,56.52,734.76
36,72,2592
1,50,50
2,40,80
0,0,0
5,62.5,312.5
8,133.33,1066.64
0,0,0
31,129.17,4004.27
19,51.35,975.65
19,39.58,752.02
9,128.57,1157.13
20,48.78,975.6
58,100,5800
40,65.57,2622.8
9,81.82,736.38
6,85.71,514.26
3,50,150
13,86.67,1126.71
36,50.7,1825.2
1,10,10
80,76.19,6095.2
11,47.83,526.13
14,63.64,890.96
29,107.41,3114.89
2,33.33,66.66
6,60,360
5,83.33,416.65
1,20,20
14,127.27,1781.78
11,45.83,504.13
1,14.29,14.29
18,66.67,1200.06
70,87.5,6125
39,90.7,3537.3
22,100,2200
11,57.89,636.79
3,16.67,50.01
5,125,625
0,0,0
2,33.33,66.66
48,141.18,6776.64
4,80,320
67,65.69,4401.23
55,56.12,3086.6
18,138.46,2492.28
9,100,900
4,44.44,177.76
8,100,800
7,63.64,445.48
2,50,100
19,146.15,2776.85
18,47.37,852.66
4,44.44,177.76
53,71.62,3795.86
2,25,50
0,0,0
21,72.41,1520.61
50,69.44,3472
25,53.19,1329.75
7,77.78,544.46
3,42.86,128.58
112,77.78,8711.36
10,41.67,416.7
12,35.29,423.48
2,50,100
3,60,180
7,140,980
1,50,50
22,40,880
1,50,50
3,50,150
18,69.23,1246.14
61,76.25,4651.25
19,38.78,736.82
18,60,1080
28,62.22,1742.16
2,50,100
0,0,0
38,102.7,3902.6
1,50,50
10,83.33,833.3
0,0,0
22,137.5,3025
0,0,0
16,66.67,1066.72
62,65.96,4089.52
0,0,0
13,40.63,528.19
5,38.46,192.3
0,0,0
18,48.65,875.7
23,76.67,1763.41
1,12.5,12.5
8,88.89,711.12
0,0,0
0,0,0
19,61.29,1164.51
0,0,0
6,46.15,276.9
16,47.06,752.96
25,86.21,2155.25
2,20,40
11,73.33,806.63
7,63.64,445.48
1,9.09,9.09
49,106.52,5219.48
0,0,0
25,59.52,1488
26,108.33,2816.58
16,84.21,1347.36
7,50,350
21,60,1260
111,84.09,9333.99
22,110,2420
34,113.33,3853.22
5,166.67,833.35
2,25,50
11,64.71,711.81
11,50,550
13,108.33,1408.29
95,115.85,11005.75
42,73.68,3094.56
17,60.71,1032.07
8,200,1600
17,33.33,566.61
6,100,600
7,58.33,408.31
1,25,25
1,50,50
0,0,0
80,96.39,7711.2
11,64.71,711.81
0,0,0
42,65.63,2756.46
34,103.03,3503.02
4,44.44,177.76
64,172.97,11070.08
11,91.67,1008.37
8,42.11,336.88
5,55.56,277.8
1,25,25
1,33.33,33.33
25,71.43,1785.75
19,55.88,1061.72
16,72.73,1163.68
28,71.79,2010.12
16,84.21,1347.36
29,207.14,6007.06
0,0,0
14,82.35,1152.9
1,16.67,16.67
0,0,0
49,85.96,4212.04
17,50,850
36,81.82,2945.52
7,41.18,288.26
38,53.52,2033.76
9,42.86,385.74
39,150,5850
35,100,3500
39,105.41,4110.99
6,54.55,327.3
56,56.57,3167.92
28,311.11,8711.08
42,73.68,3094.56
45,60.81,2736.45
2,20,40
6,42.86,257.16
17,106.25,1806.25
7,116.67,816.69
2,50,100
1,50,50
2,66.67,133.34
10,58.82,588.2
3,50,150
81,112.5,9112.5
5,62.5,312.5
0,0,0
49,163.33,8003.17
11,36.67,403.37
5,31.25,156.25
5,38.46,192.3
3,50,150
9,112.5,1012.5
69,88.46,6103.74
0,0,0
12,50,600
79,71.17,5622.43
18,66.67,1200.06
19,95,1805
9,75,675
7,87.5,612.5
11,100,1100
19,111.76,2123.44
10,100,1000
27,158.82,4288.14
31,91.18,2826.58
16,114.29,1828.64
32,76.19,2438.08
84,127.27,10690.68
37,88.1,3259.7
12,80,960
0,0,0
7,53.85,376.95
34,97.14,3302.76
36,87.8,3160.8
14,107.69,1507.66
51,159.38,8128.38
22,95.65,2104.3
10,100,1000
51,113.33,5779.83
65,191.18,12426.7
1,50,50
43,66.15,2844.45
19,105.56,2005.64
8,114.29,914.32
38,88.37,3358.06
97,100,9700
30,73.17,2195.1
13,86.67,1126.71
21,140,2940
5,250,1250
27,168.75,4556.25
0,0,0
11,45.83,504.13
0,0,0
16,47.06,752.96
7,31.82,222.74
6,66.67,400.02
29,65.91,1911.39
20,80,1600
4,12.9,51.6
3,100,300
0,0,0
36,56.25,2025
23,60.53,1392.19
17,100,1700
22,56.41,1241.02
14,50,700
28,77.78,2177.84
0,0,0
2,20,40
1,14.29,14.29
2,40,80
9,100,900
0,0,0
6,46.15,276.9
30,81.08,2432.4
8,53.33,426.64
36,72,2592
44,89.8,3951.2
36,180,6480
35,102.94,3602.9
0,0,0
34,80.95,2752.3
0,0,0
3,30,90
21,210,4410
7,175,1225
2,100,200
0,0,0
52,74.29,3863.08
1,14.29,14.29
33,70.21,2316.93
5,35.71,178.55
17,60.71,1032.07
66,100,6600
44,107.32,4722.08
32,123.08,3938.56
4,400,1600
95,97.94,9304.3
54,112.5,6075
80,109.59,8767.2
56,169.7,9503.2
18,163.64,2945.52
11,91.67,1008.37
19,126.67,2406.73
18,163.64,2945.52
76,152,11552
43,69.35,2982.05
102,118.6,12097.2
18,90,1620
10,55.56,555.6
11,47.83,526.13
4,80,320
16,114.29,1828.64
11,157.14,1728.54
6,85.71,514.26
6,200,1200
9,90,810
71,97.26,6905.46
4,17.39,69.56
20,66.67,1333.4
3,25,75
6,120,720
140,189.19,26486.6
0,0,0
17,77.27,1313.59
6,30,180
3,60,180
46,124.32,5718.72
36,124.14,4469.04
43,87.76,3773.68
0,0,0
2,28.57,57.14
80,126.98,10158.4
31,59.62,1848.22
1,12.5,12.5
0,0,0
0,0,0
0,0,0
8,114.29,914.32
9,81.82,736.38
33,91.67,3025.11
49,100,4900
60,82.19,4931.4
39,75,2925
7,77.78,544.46
0,0,0
15,62.5,937.5
3,30,90
1,9.09,9.09
6,60,360
10,111.11,1111.1
8,34.78,278.24
31,68.89,2135.59
24,77.42,1858.08
15,57.69,865.35
23,100,2300
4,25,100
0,0,0
1,25,25
2,33.33,66.66
23,88.46,2034.58
2,28.57,57.14
25,56.82,1420.5
41,132.26,5422.66
12,85.71,1028.52
8,61.54,492.32
0,0,0
29,107.41,3114.89
4,66.67,266.68
0,0,0
21,50,1050
0,0,0
9,36,324
22,47.83,1052.26
12,70.59,847.08
78,136.84,10673.52
0,0,0
0,0,0
9,60,540
2,25,50
22,46.81,1029.82
56,66.67,3733.52
31,83.78,2597.18
33,57.89,1910.37
2,28.57,57.14
12,100,1200
32,110.34,3530.88
3,75,225
0,0,0
74,94.87,7020.38
77,87.5,6737.5
66,117.86,7778.76
0,0,0
1,10,10
44,110,4840
7,70,490
13,162.5,2112.5
15,214.29,3214.35
12,300,3600
4,200,800
52,61.9,3218.8
29,120.83,3504.07
0,0,0
4,30.77,123.08
0,0,0
1,25,25
27,117.39,3169.53
0,0,0
7,53.85,376.95
1,50,50
30,66.67,2000.1
78,96.3,7511.4
25,73.53,1838.25
2,100,200
0,0,0
0,0,0
2,50,100
10,47.62,476.2
15,115.38,1730.7
4,28.57,114.28
0,0,0
97,89.81,8711.57
52,144.44,7510.88
16,61.54,984.64
30,81.08,2432.4
9,81.82,736.38
3,75,225
7,233.33,1633.31
16,53.33,853.28
8,100,800
1,20,20
0,0,0
1,12.5,12.5
2,33.33,66.66
49,125.64,6156.36
46,67.65,3111.9
85,73.91,6282.35
0,0,0
29,61.7,1789.3
2,33.33,66.66
6,150,900
1,20,20
1,100,100
0,0,0
30,88.24,2647.2
30,103.45,3103.5
23,45.1,1037.3
11,37.93,417.23
24,58.54,1404.96
18,39.13,704.34
21,84,1764
17,53.13,903.21
5,71.43,357.15
4,200,800
32,66.67,2133.44
64,125.49,8031.36
104,100.97,10500.88
39,95.12,3709.68
26,130,3380
45,136.36,6136.2
3,50,150
6,200,1200
10,58.82,588.2
18,128.57,2314.26
20,95.24,1904.8
3,23.08,69.24
113,88.28,9975.64
53,77.94,4130.82
29,80.56,2336.24
2,66.67,133.34
1,100,100
7,53.85,376.95
36,97.3,3502.8
111,112.12,12445.32
43,87.76,3773.68
48,92.31,4430.88
25,83.33,2083.25
2,66.67,133.34
18,150,2700
6,100,600
0,0,0
82,109.33,8965.06
15,51.72,775.8
30,88.24,2647.2
41,55.41,2271.81
52,91.23,4743.96
6,42.86,257.16
46,76.67,3526.82
42,82.35,3458.7
54,93.1,5027.4
87,96.67,8410.29
30,214.29,6428.7
13,185.71,2414.23
12,240,2880
0,0,0
0,0,0
14,73.68,1031.52
6,42.86,257.16
0,0,0
1,7.14,7.14
0,0,0
96,88.07,8454.72
68,85,5780
30,130.43,3912.9
1,25,25
1,12.5,12.5
0,0,0
133,99.25,13200.25
4,66.67,266.68
36,67.92,2445.12
13,52,676
36,92.31,3323.16
3,50,150
43,179.17,7704.31
10,83.33,833.3
0,0,0
1,50,50
